fact_id,source_file,section,page,statement,type,scope,condition
REF-012,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,7.1,32,The Wi-Fi operating center-frequency range is 2412 to 2484 MHz.,rf_parameter,WROOM module,Device operation must follow the center-frequency range allocated by regional regulatory authorities
REF-013,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,10.1,42,ESP32-S3-WROOM-1 is approximately 18.0 x 25.5 x 3.1 mm.,mechanical,WROOM-1,Module dimensions
REF-014,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,10.1,42,ESP32-S3-WROOM-1U is approximately 18.0 x 19.2 x 3.2 mm.,mechanical,WROOM-1U,Module dimensions
REF-015,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,11.2,46,Module placement should minimize interference from the baseboard on antenna performance.,recommendation,WROOM module,PCB placement
REF-016,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,12.1,47,The module is moisture sensitivity level 3 and should be soldered within 168 hours after unpacking under the specified factory conditions.,process_requirement,WROOM module,Storage and moisture handling
REF-017,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,12.2,47,The specified ESD ratings are plus or minus 2000 V for HBM and plus or minus 500 V for CDM.,limit,WROOM module,ESD handling
REF-018,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,12.3,47,The recommended lead-free reflow process uses SAC305 solder with a peak temperature of 235 to 250 C and a peak time of 30 to 70 seconds.,process_requirement,WROOM module,Manufacturing reflow
REF-019,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,Datasheet Versioning,49,Datasheet versions v1.0 and higher are official releases; major changes are communicated through Product Change Notifications.,versioning,WROOM module,Datasheet lifecycle
REF-020,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,Revision History,51,"Datasheet v1.8 dated 2026-03-02 updated pin assignment information, added an SD/MMC note, and updated low-power current data.",revision_fact,WROOM module,Current uploaded datasheet
REF-021,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.3.2,5,"For a single-supply design, 3.3 V is recommended and the supply output current should be no less than 500 mA.",recommendation,ESP32-S3 chip design,Power supply
REF-022,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.3.2,5,An ESD protection diode and at least a 10 uF capacitor are suggested at the main power entrance.,recommendation,ESP32-S3 chip design,Power entry
REF-023,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.3.2,7,"VDD_SPI can operate at 1.8 V or 3.3 V, and additional 0.1 uF and 1 uF decoupling capacitors are recommended near VDD_SPI.",design_rule,ESP32-S3 chip design,Flash and PSRAM supply
REF-024,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.3.3,8,"Power rails should stabilize for at least 50 microseconds before CHIP_PU is pulled high, and CHIP_PU should stay low for at least 50 microseconds during reset.",timing_requirement,ESP32-S3 chip design,Power-up and reset timing
REF-025,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.3.3,8,"A typical reset RC network uses 10 kohm and 1 uF, but the values should be adjusted for the actual power supply.",recommendation,ESP32-S3 chip design,Reset circuit
REF-026,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.4.1,20,A four-layer PCB is recommended; a two-layer design is also possible if it maintains an adequate ground plane.,recommendation,PCB design,Layer stack
REF-027,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.4.2,22,"The recommended main power-trace width is at least 25 mil, VDD3P3 traces at least 20 mil, and other power traces about 10 mil.",layout_recommendation,PCB design,Four-layer power routing
REF-028,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.4.4,26,The RF trace should have approximately 50 ohm characteristic impedance and should be kept short with a complete adjacent ground reference.,recommendation,RF layout,RF trace
REF-029,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.4.4,26;28,"High-frequency signal traces and interference sources such as crystals, USB, and UART should be kept away from the antenna and RF trace.",recommendation,RF layout,RF interference control
REF-030,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.4.5,28,"Octal SPI traces should have matching lengths, with suitable grounding and decoupling around flash and PSRAM.",recommendation,Flash and PSRAM layout,Octal SPI
REF-031,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.4.7,30,A clearance of at least 15 mm in all directions is recommended around a PCB antenna inside the final product housing.,recommendation,Antenna and enclosure,Module placement
REF-032,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.4.7,30,The final product should be tested for wireless throughput and communication range after the module is placed in its enclosure.,verification_requirement,Antenna and enclosure,Final RF validation
REF-033,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.4.8,30,USB differential traces should target 90 ohm impedance with plus or minus 10 percent tolerance and equal-length routing.,design_rule,USB layout,USB differential pair
REF-034,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.4.11,34;35,"Poor RF transmit or receive performance can result from crystal interference, nearby high-frequency traces, or RF impedance mismatch.",troubleshooting,RF layout,Typical layout problems
REF-035,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.5,35,Firmware can be downloaded through UART or USB using the documented joint-download boot mode and GPIO0 configuration.,process_guidance,ESP32-S3 development,Firmware download
REF-036,esp-hardware-design-guidelines-en-master-esp32s3.pdf,1.8,38,"The guideline revision history identifies v1.8 dated 2025-07-03 and records updates to power, RF, UART, USB, touch, and schematic guidance.",revision_fact,ESP32-S3 design,Guideline lifecycle
REF-037,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,1.2,3,ESP32-S3-WROOM-1U-N8 provides 8 MB Quad SPI flash.,variant_specific,WROOM-1U-N8,Table 1-2; ambient temperature is immediately outside the module as defined by note 5 on printed page 4
REF-038,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,1.2,3,ESP32-S3-WROOM-1U-N8 has no PSRAM.,variant_specific,WROOM-1U-N8,Table 1-2; ambient temperature is immediately outside the module as defined by note 5 on printed page 4
REF-039,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,1.2,3,ESP32-S3-WROOM-1U-N8 is listed for an ambient temperature range of -40 to 85 C.,variant_specific,WROOM-1U-N8,Table 1-2; ambient temperature is immediately outside the module as defined by note 5 on printed page 4
